               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10231,            0.073271,                   0,                   0,                   0,                   0,                   0,             0.10024,            0.044806,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.097181,            0.058625,                   0,          0.00045455,             0.11111,          0.00025438,          4.9443e-05,            0.098681,            0.043016,                   0,             0.04065,           0.0065763,           0.0065763
                   2,            0.087581,            0.054122,                   0,           0.0014167,             0.31481,           0.0010526,          0.00029227,            0.088269,            0.035281,                   0,            0.010618,           0.0098768,           0.0098768
                   3,            0.080223,               0.049,                   0,           0.0012593,             0.31481,           0.0011306,          0.00029932,            0.072905,            0.024793,                   0,           0.0099258,           0.0099258,           0.0099258
                   4,            0.077403,            0.044486,                   0,           0.0015556,             0.38889,           0.0019306,          0.00052914,            0.062145,            0.026864,                   0,           0.0099258,           0.0099258,           0.0099258
                   5,            0.079242,            0.045312,                   0,           0.0010423,             0.25926,           0.0010003,          0.00032078,            0.070136,            0.019473,                   0,            0.009901,            0.009901,            0.009901
                   6,             0.07505,            0.043166,                   0,           0.0017276,             0.42593,           0.0035399,          0.00082282,            0.067095,            0.021229,                   0,           0.0098763,           0.0098763,           0.0098763
                   7,            0.074895,            0.042472,                   0,           0.0031852,              0.7963,            0.017408,           0.0046169,            0.059935,            0.022879,                   0,           0.0098515,           0.0098515,           0.0098515
                   8,            0.073049,              0.0407,                   0,           0.0024444,             0.61111,           0.0043381,          0.00092167,            0.063231,            0.022902,                   0,           0.0098268,           0.0098268,           0.0098268
                   9,            0.074092,            0.036134,                   0,           0.0025185,             0.62963,           0.0043953,          0.00092113,            0.068254,            0.022899,                   0,            0.009802,            0.009802,            0.009802
                  10,            0.066831,             0.03629,                   0,           0.0036296,             0.90741,            0.040972,           0.0085854,            0.054322,             0.02248,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,            0.064533,            0.035937,                   0,           0.0035648,             0.88889,            0.029809,           0.0066668,            0.053524,            0.023371,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,            0.065222,            0.035785,                   0,           0.0048992,             0.94444,            0.066127,            0.020233,            0.055789,            0.022777,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,            0.062699,            0.031134,                   0,            0.030659,              0.7963,              0.1105,            0.037346,            0.049785,             0.02286,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.063037,            0.030649,                   0,            0.045588,             0.66667,             0.19951,            0.072472,            0.048132,             0.02242,                   0,           0.0096783,           0.0096783,           0.0096783
                  15,            0.065495,            0.032404,                   0,             0.16025,             0.61111,             0.24996,            0.094854,            0.047544,            0.022408,                   0,           0.0096535,           0.0096535,           0.0096535
                  16,            0.059684,            0.031338,                   0,             0.15486,             0.40741,             0.24707,             0.10851,            0.048791,             0.02275,                   0,           0.0096288,           0.0096288,           0.0096288
                  17,            0.056964,            0.031342,                   0,             0.13141,             0.35185,             0.12472,            0.035791,              0.0467,            0.024316,                   0,            0.009604,            0.009604,            0.009604
                  18,            0.062092,            0.028896,                   0,             0.28284,             0.27778,             0.21902,            0.096508,            0.048591,            0.020561,                   0,           0.0095793,           0.0095793,           0.0095793
                  19,            0.058764,            0.029111,                   0,             0.17812,             0.37037,             0.15088,            0.046553,            0.051922,            0.024863,                   0,           0.0095545,           0.0095545,           0.0095545
                  20,            0.058773,            0.029337,                   0,             0.33991,             0.42593,              0.3576,             0.12768,            0.048367,            0.024948,                   0,           0.0095298,           0.0095298,           0.0095298
                  21,            0.056028,            0.026924,                   0,             0.60497,             0.35185,             0.37738,             0.12859,            0.054971,             0.01772,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.058034,            0.029023,                   0,             0.12176,             0.38889,             0.13139,            0.045911,            0.051125,            0.021911,                   0,           0.0094803,           0.0094803,           0.0094803
                  23,            0.058438,            0.026958,                   0,             0.42245,             0.39288,              0.3291,            0.094067,            0.045297,            0.021943,                   0,           0.0094555,           0.0094555,           0.0094555
                  24,            0.054395,            0.025629,                   0,             0.46366,             0.32028,             0.37597,              0.1518,            0.047933,            0.018921,                   0,           0.0094307,           0.0094307,           0.0094307
                  25,             0.05672,            0.025646,                   0,             0.29067,             0.44444,             0.33916,             0.12508,            0.052556,            0.029892,                   0,            0.009406,            0.009406,            0.009406
                  26,            0.059371,            0.025717,                   0,             0.39174,             0.44444,             0.35046,             0.13738,            0.045807,            0.019303,                   0,           0.0093813,           0.0093813,           0.0093813
                  27,            0.054751,            0.027114,                   0,             0.44994,             0.37037,             0.34131,             0.13835,            0.046521,            0.018787,                   0,           0.0093565,           0.0093565,           0.0093565
                  28,            0.052045,             0.02386,                   0,             0.49159,             0.40741,             0.46299,             0.18854,            0.044921,            0.019126,                   0,           0.0093317,           0.0093317,           0.0093317
                  29,            0.053082,            0.024651,                   0,             0.49613,             0.29186,              0.3364,             0.12821,            0.044612,            0.018932,                   0,            0.009307,            0.009307,            0.009307
                  30,            0.057129,            0.023858,                   0,             0.57732,             0.35185,             0.42909,              0.1556,            0.043047,            0.017929,                   0,           0.0092823,           0.0092823,           0.0092823
                  31,            0.052616,            0.023894,                   0,             0.57208,             0.38889,             0.50205,             0.19706,            0.045021,            0.020359,                   0,           0.0092575,           0.0092575,           0.0092575
                  32,            0.052664,            0.023785,                   0,             0.43057,             0.37037,              0.3774,              0.1255,            0.044962,            0.019494,                   0,           0.0092327,           0.0092327,           0.0092327
                  33,            0.049842,            0.022555,                   0,             0.55568,             0.57407,             0.50616,              0.2015,            0.044047,            0.021279,                   0,            0.009208,            0.009208,            0.009208
                  34,            0.046747,            0.021092,                   0,             0.47713,                 0.5,             0.46804,              0.1784,            0.044223,            0.023383,                   0,           0.0091833,           0.0091833,           0.0091833
                  35,              0.0502,            0.023617,                   0,             0.32742,             0.33333,             0.30392,             0.10017,             0.04725,            0.017639,                   0,           0.0091585,           0.0091585,           0.0091585
                  36,            0.052595,            0.024192,                   0,             0.56563,             0.40741,              0.5043,             0.19253,            0.044643,            0.016998,                   0,           0.0091337,           0.0091337,           0.0091337
                  37,            0.049821,            0.023941,                   0,             0.55918,             0.46296,             0.44352,             0.20102,            0.046899,            0.022005,                   0,            0.009109,            0.009109,            0.009109
                  38,            0.048368,            0.021523,                   0,             0.60988,             0.37037,              0.4806,             0.23727,            0.041518,            0.017952,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.045658,            0.021536,                   0,              0.6068,             0.40741,             0.49007,              0.2336,            0.039186,            0.020936,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,            0.048103,            0.021212,                   0,             0.75956,             0.42593,             0.50776,             0.21429,            0.047593,            0.016468,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,            0.052473,            0.019021,                   0,              0.6945,             0.50527,             0.56194,             0.22274,            0.042642,            0.016981,                   0,             0.00901,             0.00901,             0.00901
                  42,            0.047621,            0.018932,                   0,             0.68879,             0.53291,             0.62315,             0.30356,            0.039352,            0.018669,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.047975,            0.020012,                   0,             0.86737,             0.48148,             0.62359,             0.25084,            0.044383,            0.017304,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,            0.048724,            0.021761,                   0,             0.54016,             0.51852,             0.51271,             0.20036,            0.044731,            0.017343,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.048312,            0.022019,                   0,             0.52404,             0.48943,             0.51098,             0.21304,            0.044851,            0.018174,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.046092,            0.019131,                   0,             0.54803,             0.58389,             0.55752,             0.24825,            0.046692,            0.016858,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,             0.05111,             0.01873,                   0,             0.65748,             0.60439,             0.58987,             0.27697,            0.043539,            0.015814,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.047918,            0.020567,                   0,              0.5959,             0.62963,             0.60274,             0.28989,            0.037909,            0.015694,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,            0.045047,             0.01819,                   0,             0.60127,             0.48148,             0.53253,             0.26997,            0.035826,            0.020687,                   0,            0.008812,            0.008812,            0.008812
                  50,              0.0474,            0.020572,                   0,             0.61434,             0.61111,             0.61482,             0.21733,            0.046659,             0.02242,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.043639,            0.019714,                   0,             0.71818,                 0.5,             0.62507,             0.30922,            0.039231,            0.017535,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,            0.045659,            0.020156,                   0,             0.62908,             0.47122,             0.48835,             0.24973,            0.038967,            0.018675,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,            0.046646,            0.018887,                   0,             0.67411,             0.61111,             0.64093,             0.27952,            0.041441,             0.02174,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.046268,            0.019167,                   0,             0.71081,             0.55556,             0.61525,             0.24624,            0.041059,            0.017284,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.047365,            0.020463,                   0,             0.49549,             0.40741,             0.32264,             0.14177,            0.056571,             0.02709,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.045492,            0.022356,                   0,             0.56479,             0.48148,               0.491,             0.15479,             0.05338,            0.019191,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,            0.047999,            0.019479,                   0,             0.58622,             0.48148,             0.52562,             0.20785,            0.045153,            0.016486,                   0,            0.008614,            0.008614,            0.008614
                  58,            0.046054,            0.019897,                   0,             0.71171,             0.46296,              0.5469,             0.20954,            0.043459,            0.022384,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,            0.043497,            0.017317,                   0,             0.81207,             0.48017,             0.59437,             0.25364,            0.041426,            0.019848,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,            0.044371,            0.020134,                   0,             0.79749,             0.48148,             0.54826,             0.23944,            0.044076,            0.015749,                   0,           0.0085398,           0.0085398,           0.0085398
                  61,             0.04418,            0.022282,                   0,             0.63948,                 0.5,             0.49204,             0.20781,            0.037519,            0.016754,                   0,            0.008515,            0.008515,            0.008515
                  62,            0.044095,            0.016948,                   0,             0.65529,             0.59854,             0.67234,             0.27969,            0.038418,            0.014746,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,            0.045513,            0.020316,                   0,             0.59947,             0.53704,             0.56455,             0.25463,            0.042135,            0.019627,                   0,           0.0084655,           0.0084655,           0.0084655
                  64,             0.04229,            0.018664,                   0,             0.60163,             0.64332,             0.60965,             0.28253,            0.039613,            0.016499,                   0,           0.0084408,           0.0084408,           0.0084408
                  65,            0.040153,            0.018988,                   0,             0.59022,             0.42593,             0.50472,             0.21379,            0.038792,            0.016832,                   0,            0.008416,            0.008416,            0.008416
                  66,            0.040192,            0.019563,                   0,             0.74253,             0.35185,             0.46858,             0.20119,             0.04025,             0.01797,                   0,           0.0083913,           0.0083913,           0.0083913
                  67,            0.042633,            0.017818,                   0,             0.63232,             0.59259,             0.56579,             0.26199,            0.039964,            0.018035,                   0,           0.0083665,           0.0083665,           0.0083665
                  68,            0.042787,            0.018205,                   0,             0.61427,             0.44444,              0.5065,             0.22789,            0.043727,            0.018632,                   0,           0.0083418,           0.0083418,           0.0083418
                  69,            0.040568,             0.01747,                   0,             0.47936,             0.48148,             0.45273,             0.21181,            0.042008,            0.020013,                   0,            0.008317,            0.008317,            0.008317
                  70,            0.041407,            0.017327,                   0,             0.52411,             0.44876,             0.51164,             0.25523,            0.044271,            0.016715,                   0,           0.0082922,           0.0082922,           0.0082922
                  71,            0.041574,            0.018421,                   0,             0.54636,             0.55556,             0.53493,             0.26572,            0.039022,            0.020553,                   0,           0.0082675,           0.0082675,           0.0082675
                  72,            0.041059,            0.018249,                   0,             0.64984,             0.44444,             0.52207,             0.23254,            0.046347,            0.021109,                   0,           0.0082428,           0.0082428,           0.0082428
                  73,            0.043088,            0.018585,                   0,             0.53494,             0.55556,             0.57247,             0.26837,             0.03696,            0.022148,                   0,            0.008218,            0.008218,            0.008218
                  74,            0.043962,            0.017896,                   0,             0.71737,             0.51708,             0.57641,             0.26104,            0.038882,            0.020839,                   0,           0.0081932,           0.0081932,           0.0081932
                  75,            0.042716,            0.018384,                   0,             0.57015,             0.51852,             0.50717,             0.26611,            0.036773,            0.022059,                   0,           0.0081685,           0.0081685,           0.0081685
                  76,            0.040211,            0.017418,                   0,             0.68621,             0.48148,             0.55643,             0.24488,            0.036211,            0.022982,                   0,           0.0081437,           0.0081437,           0.0081437
                  77,            0.040365,            0.016193,                   0,             0.62871,             0.48148,              0.5352,             0.24589,            0.037309,              0.0175,                   0,            0.008119,            0.008119,            0.008119
                  78,            0.040009,            0.016523,                   0,             0.62475,              0.4934,             0.54947,              0.2432,            0.036832,            0.017116,                   0,           0.0080942,           0.0080942,           0.0080942
                  79,            0.044728,            0.018721,                   0,             0.72245,             0.57407,              0.5991,              0.2386,            0.038872,             0.01735,                   0,           0.0080695,           0.0080695,           0.0080695
                  80,             0.04217,            0.017303,                   0,             0.61238,                 0.5,             0.51329,             0.23189,            0.047088,            0.019047,                   0,           0.0080447,           0.0080447,           0.0080447
                  81,            0.041267,            0.017779,                   0,             0.62648,             0.62128,             0.61554,             0.24873,            0.038918,            0.017596,                   0,             0.00802,             0.00802,             0.00802
                  82,            0.041305,            0.017412,                   0,             0.74439,             0.46296,             0.53769,             0.20782,            0.046394,             0.01744,                   0,           0.0079953,           0.0079953,           0.0079953
                  83,             0.04198,            0.017818,                   0,              0.6156,             0.44486,             0.46687,              0.2014,            0.049502,            0.018287,                   0,           0.0079705,           0.0079705,           0.0079705
                  84,            0.043028,            0.016462,                   0,             0.60762,             0.54496,              0.5939,             0.25867,            0.040893,            0.023181,                   0,           0.0079457,           0.0079457,           0.0079457
                  85,            0.039088,             0.01569,                   0,             0.58019,             0.66667,             0.64469,             0.29665,             0.04088,            0.018787,                   0,            0.007921,            0.007921,            0.007921
                  86,            0.039771,            0.016159,                   0,              0.6649,             0.57407,             0.59052,             0.23548,            0.040618,            0.016466,                   0,           0.0078963,           0.0078963,           0.0078963
                  87,            0.037803,            0.016229,                   0,             0.62444,             0.51852,             0.54983,             0.24893,            0.043547,            0.017597,                   0,           0.0078715,           0.0078715,           0.0078715
                  88,            0.039693,            0.015877,                   0,              0.6512,             0.58783,             0.62778,             0.28411,            0.039675,            0.017866,                   0,           0.0078467,           0.0078467,           0.0078467
                  89,            0.039109,            0.017375,                   0,             0.58926,             0.46296,             0.50222,             0.25332,            0.044029,            0.019769,                   0,            0.007822,            0.007822,            0.007822
                  90,            0.038649,            0.016613,                   0,             0.59594,                 0.5,             0.55964,             0.28781,            0.039897,            0.018921,                   0,           0.0077973,           0.0077973,           0.0077973
                  91,            0.037514,            0.016131,                   0,             0.62563,             0.61904,              0.6161,             0.30473,            0.040605,            0.015923,                   0,           0.0077725,           0.0077725,           0.0077725
                  92,             0.03812,             0.01664,                   0,             0.68747,             0.40741,             0.51651,             0.24754,            0.041879,            0.018406,                   0,           0.0077478,           0.0077478,           0.0077478
                  93,            0.041048,            0.017202,                   0,             0.49963,             0.55556,             0.51837,             0.23949,            0.043054,            0.015836,                   0,            0.007723,            0.007723,            0.007723
                  94,            0.036863,            0.016436,                   0,             0.59803,             0.53704,             0.54111,             0.24165,            0.042039,            0.016589,                   0,           0.0076983,           0.0076983,           0.0076983
                  95,            0.038073,            0.016228,                   0,             0.64722,             0.37037,             0.39877,             0.17144,            0.045105,            0.016315,                   0,           0.0076735,           0.0076735,           0.0076735
                  96,            0.040352,            0.015574,                   0,              0.5939,             0.46296,             0.50463,             0.25632,            0.042267,            0.018277,                   0,           0.0076488,           0.0076488,           0.0076488
                  97,            0.036947,            0.015019,                   0,             0.55021,             0.53704,             0.50898,             0.27803,            0.038073,            0.024734,                   0,            0.007624,            0.007624,            0.007624
                  98,            0.038933,            0.015786,                   0,             0.40334,             0.37037,             0.39372,             0.19888,             0.03992,            0.033452,                   0,           0.0075993,           0.0075993,           0.0075993
                  99,            0.041181,            0.015523,                   0,             0.66029,             0.61191,             0.65098,             0.32238,            0.035281,            0.019753,                   0,           0.0075745,           0.0075745,           0.0075745
                 100,            0.043058,            0.015414,                   0,             0.74759,             0.43891,              0.4654,             0.23045,            0.047851,            0.015999,                   0,           0.0075498,           0.0075498,           0.0075498
                 101,            0.038456,            0.015618,                   0,              0.5062,             0.46296,             0.42384,             0.20783,            0.047652,            0.017446,                   0,            0.007525,            0.007525,            0.007525
                 102,            0.037872,            0.017553,                   0,             0.69424,             0.55556,             0.56419,              0.2753,            0.040817,            0.020078,                   0,           0.0075003,           0.0075003,           0.0075003
                 103,            0.036236,            0.015072,                   0,             0.64101,             0.46296,              0.5341,             0.26884,            0.039335,            0.017043,                   0,           0.0074755,           0.0074755,           0.0074755
                 104,            0.037909,            0.014609,                   0,             0.59149,             0.51852,             0.50829,             0.25686,            0.044239,            0.017291,                   0,           0.0074507,           0.0074507,           0.0074507
                 105,            0.038242,            0.016296,                   0,             0.71439,             0.51852,             0.55539,             0.26367,            0.040065,             0.01684,                   0,            0.007426,            0.007426,            0.007426
                 106,            0.036537,            0.016134,                   0,             0.48603,             0.49042,             0.46927,             0.21317,            0.038497,            0.028268,                   0,           0.0074013,           0.0074013,           0.0074013
                 107,            0.035723,            0.015706,                   0,             0.41647,             0.44444,              0.3924,             0.21056,             0.03828,            0.029729,                   0,           0.0073765,           0.0073765,           0.0073765
                 108,            0.036316,            0.016692,                   0,             0.62859,             0.55556,              0.5821,             0.28001,            0.038522,            0.018332,                   0,           0.0073517,           0.0073517,           0.0073517
                 109,            0.034997,            0.016127,                   0,             0.73321,             0.46296,             0.56876,             0.28182,            0.037096,            0.016895,                   0,            0.007327,            0.007327,            0.007327
                 110,            0.036901,            0.016353,                   0,             0.83563,               0.565,             0.68464,             0.32719,             0.03682,            0.015579,                   0,           0.0073023,           0.0073023,           0.0073023
                 111,            0.037816,            0.016023,                   0,             0.72634,             0.51852,             0.61672,             0.30697,            0.037323,            0.015347,                   0,           0.0072775,           0.0072775,           0.0072775
                 112,            0.038092,            0.016821,                   0,             0.72524,             0.48148,             0.58512,             0.27789,            0.041441,            0.015445,                   0,           0.0072527,           0.0072527,           0.0072527
                 113,            0.035084,            0.013513,                   0,             0.69789,             0.61111,             0.68356,             0.31836,             0.03665,            0.018832,                   0,            0.007228,            0.007228,            0.007228
                 114,            0.037004,            0.015501,                   0,             0.63427,             0.59259,             0.64684,             0.32387,            0.037121,            0.020387,                   0,           0.0072033,           0.0072033,           0.0072033
                 115,            0.039347,            0.016042,                   0,             0.74978,             0.57407,             0.69511,             0.37311,            0.033149,            0.016097,                   0,           0.0071785,           0.0071785,           0.0071785
                 116,            0.038591,            0.017863,                   0,             0.72477,             0.51852,             0.56487,             0.28416,            0.039509,            0.016823,                   0,           0.0071538,           0.0071538,           0.0071538
                 117,            0.035628,            0.014254,                   0,             0.69391,             0.51852,             0.56702,             0.28288,            0.040056,            0.015548,                   0,            0.007129,            0.007129,            0.007129
                 118,            0.035076,            0.016498,                   0,             0.70418,             0.55556,             0.60898,             0.29233,            0.038634,            0.016963,                   0,           0.0071042,           0.0071042,           0.0071042
                 119,            0.038197,            0.015382,                   0,             0.67887,             0.58731,             0.63203,             0.30468,            0.038612,             0.01766,                   0,           0.0070795,           0.0070795,           0.0070795
                 120,            0.036398,            0.016651,                   0,             0.48086,             0.51852,             0.47306,             0.23259,             0.04224,            0.022139,                   0,           0.0070547,           0.0070547,           0.0070547
                 121,            0.036798,            0.014344,                   0,             0.62116,             0.44444,             0.44698,             0.18958,            0.046443,             0.01861,                   0,             0.00703,             0.00703,             0.00703
                 122,            0.039192,            0.015562,                   0,             0.63764,                 0.5,             0.55236,             0.25533,            0.038436,            0.018787,                   0,           0.0070053,           0.0070053,           0.0070053
                 123,            0.034243,            0.015593,                   0,             0.57643,             0.72222,             0.60151,             0.26927,            0.040085,            0.021872,                   0,           0.0069805,           0.0069805,           0.0069805
                 124,            0.037189,            0.016265,                   0,             0.63973,             0.61111,             0.64795,             0.32334,            0.036949,            0.018202,                   0,           0.0069558,           0.0069558,           0.0069558
                 125,            0.035061,            0.016307,                   0,             0.64618,             0.44444,             0.47328,             0.21854,             0.04244,            0.021623,                   0,            0.006931,            0.006931,            0.006931
                 126,             0.03539,            0.014556,                   0,             0.66453,             0.47698,             0.55279,              0.2466,            0.042674,            0.015941,                   0,           0.0069063,           0.0069063,           0.0069063
                 127,             0.03744,            0.015086,                   0,             0.60817,             0.55556,             0.59061,             0.29219,            0.041406,            0.015874,                   0,           0.0068815,           0.0068815,           0.0068815
                 128,            0.037488,            0.015703,                   0,             0.75336,             0.51852,             0.62465,             0.30116,            0.039039,            0.018518,                   0,           0.0068568,           0.0068568,           0.0068568
                 129,            0.033756,              0.0154,                   0,             0.49209,             0.52033,             0.52455,             0.25597,            0.036979,            0.025457,                   0,            0.006832,            0.006832,            0.006832
                 130,            0.032027,            0.015111,                   0,             0.69385,             0.55556,             0.65898,             0.31028,            0.038274,             0.01696,                   0,           0.0068073,           0.0068073,           0.0068073
                 131,            0.033991,            0.014008,                   0,             0.58438,             0.51852,             0.54566,             0.21282,            0.042946,            0.015836,                   0,           0.0067825,           0.0067825,           0.0067825
                 132,            0.035641,             0.01486,                   0,             0.59614,             0.55556,             0.54774,             0.23897,            0.042674,             0.01602,                   0,           0.0067577,           0.0067577,           0.0067577
                 133,            0.036157,            0.015162,                   0,              0.6422,             0.57407,             0.58149,             0.25493,            0.041614,            0.017351,                   0,            0.006733,            0.006733,            0.006733
                 134,             0.03574,            0.015692,                   0,             0.63874,             0.55664,             0.58976,             0.26567,            0.040425,            0.016327,                   0,           0.0067082,           0.0067082,           0.0067082
                 135,            0.037369,              0.0154,                   0,             0.69895,             0.61111,             0.63082,             0.30213,            0.037173,            0.015697,                   0,           0.0066835,           0.0066835,           0.0066835
                 136,             0.03512,            0.014076,                   0,             0.66361,             0.54809,             0.57454,             0.28894,              0.0379,            0.020278,                   0,           0.0066587,           0.0066587,           0.0066587
                 137,            0.035251,            0.013501,                   0,             0.53456,             0.57427,             0.57406,             0.30538,            0.036104,            0.021369,                   0,            0.006634,            0.006634,            0.006634
                 138,            0.036682,            0.014779,                   0,             0.62904,             0.62963,             0.63845,             0.28792,            0.043624,            0.016613,                   0,           0.0066092,           0.0066092,           0.0066092
                 139,            0.037617,            0.015681,                   0,             0.85009,             0.51852,             0.62177,             0.28486,            0.041163,            0.016788,                   0,           0.0065845,           0.0065845,           0.0065845
